SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	September 23, 2020	September 22, 2020	September 21, 2020	September 18, 2020	September 17, 2020
Chinese yuan	0.1045970000	0.1042230000	0.1045230000	0.1044290000	0.1044980000
Euro	0.8305440000	0.8315230000	0.8340140000	0.8352890000	0.8342940000
Japanese yen	0.0067568900			0.0067343800	0.0067321200
U.K. pound	0.9038870000	0.9106380000	0.9100070000	0.9163610000	0.9165080000
U.S. dollar	0.7103520000	0.7082820000	0.7075710000	0.7058980000	0.7072090000
Algerian dinar	0.0054953800	0.0054862700	0.0055003000	0.0054895200	0.0054925300
Australian dollar	0.5068360000	0.5108840000	0.5175880000	0.5167170000	0.5147070000
Botswana pula	0.0613034000	0.0611247000	0.0622662000	0.0623308000	0.0619515000
Brazilian real	0.1284430000	0.1303830000	0.1299870000	0.1334830000	0.1344840000
Brunei dollar	0.5198330000	0.5199160000	0.5222310000	0.5204590000	0.5189380000
Canadian dollar	0.5317800000	0.5321430000	0.5322880000	0.5353390000	0.5357640000
Chilean peso	0.0009184790	0.0009164780	0.0009257280		0.0009286560
Colombian peso	0.0001862830	0.0001868550	0.0001899330	0.0001900310	0.0001909380
Czech koruna	0.0308112000	0.0307842000	0.0309023000	0.0312552000	0.0311972000
Danish krone	0.1115890000	0.1117380000	0.1120870000	0.1122650000	0.1121430000
Indian rupee	0.0096479400	0.0096371300	0.0096509200	0.0096306500	0.0095955100
Israeli New Shekel	0.2061980000	0.2058360000	0.2055700000		0.2066650000
Korean won	0.0006103200	0.0006102720	0.0006080880	0.0006005600	0.0006004490
Kuwaiti dinar	2.3199000000	2.3157800000	2.3161100000		2.3122700000
Malaysian ringgit	0.1715410000	0.1712270000	0.1721370000	0.1710230000	0.1705350000
Mauritian rupee		0.0177743000	0.0177544000	0.0177201000	0.0177601000
Mexican peso	0.0321576000	0.0328392000	0.0329026000	0.0336628000	0.0337007000
New Zealand dollar	0.4694720000	0.4724950000	0.4789550000	0.4781050000	0.4731230000
Norwegian krone	0.0755469000	0.0759185000	0.0766275000	0.0776736000	0.0777982000
Omani rial	1.8474700000	1.8420900000	1.8402400000		1.8393000000
